-0.0061605,20,50,1.65,0,0
-0.12283,36.598,106.61,0.29364,0,0
-0.026101,1.0414,23.607,15.869,1,5
-0.15367,10.39,87.148,8.8578,0,0
-0.027847,11.235,44.691,13.414,0,0
-0.010322,51.174,3.7673,15.52,2,9
-0.050661,58.339,76.933,0.67662,0,0
-0.041419,59.928,74.881,0.65299,0,0
-0.71864,0.61045,103.86,7.2045,0,0
-0.016612,14.205,72.032,0.27943,0,0
-0.27822,23.276,46.958,0.22844,1,4
-0.024972,37.939,96.113,0.20165,0,0
-0.10722,0.7638,36.979,0.16961,0,0
-0.029024,4.8203,34.515,4.3354,0,0
-0.05626,6.0567,55.497,16.005,0,0
-0.03259,0.93594,19.88,0.82927,1,5
-0.00042108,10.723,17.363,6.3138,2,9
-0.0017742,5.7425,9.3818,11.012,2,9
-0.013236,44.294,17.302,16.385,2,9
-0.22026,67.881,45.577,8.1332,1,4
-0.019046,39.625,48.159,15.948,2,9
-0.0425,7.0679,57.304,11.921,0,0
-0.25386,3.438,63.922,5.7074,0,0
-0.02945,11.164,48.641,13.146,0,0
-0.012013,15.332,48.168,10.173,0,0
-0.0090995,25.565,40.069,13.579,1,5
-0.013596,41.088,18.882,11.443,2,9
-0.012433,29.857,47.242,8.2165,1,4
-0.014199,33.422,46.34,9.7228,2,9
-0.00037002,23.365,27.082,15.926,2,9
-0.0021482,23.621,16.888,16.283,2,9
-0.01198,23.684,16.164,12.416,2,9
0.0053708,11.877,2.2196,5.9823,3,10
-0.0084702,28.071,10.954,5.646,2,9
-0.19189,39.175,9.5019,1.3694,1,4
-0.18379,37.972,8.9021,1.2105,1,4
-0.27145,51.1,17.506,2.8088,1,4
-0.27751,51.027,17.834,2.6951,1,4
-0.0023381,57.966,25.976,12.093,1,4
-0.018698,58.435,24.761,12.925,1,4
-0.015322,49.989,22.828,15.531,2,9
-0.018368,60.793,28.486,14.95,2,9
-0.016468,51.469,29.194,16.217,2,9
-0.018938,61.916,32.389,14.783,1,4
-0.016864,47.333,33.007,16.373,2,9
-0.015844,54.093,19.742,14.588,2,9
-0.0015478,51.541,27.81,10.387,1,4
-0.0009374,46.933,20.21,9.1431,1,4
-0.22237,53.871,19.081,4.3178,1,4
-0.0099286,45.761,12.524,6.874,1,4
-0.015234,43.826,25.485,13.805,2,9
-0.013725,38.147,21.594,11.348,2,9
-0.013919,31.784,20.634,13.958,2,9
-0.014291,43.983,21.11,14.387,2,9
-0.01531,50.236,21.494,14.549,2,9
-0.00050282,52.496,25.641,10.923,1,4
-0.01677,55.537,22.247,14.273,2,9
-0.016894,47.493,23.867,10.087,2,9
