t,z
22.06,4.9936
22.07,4.9936
22.08,4.9935
22.09,4.9935
22.1,4.9935
22.11,4.9934
22.12,4.9934
22.13,4.9934
22.14,4.9934
22.15,4.9933
22.16,4.9933
22.17,4.9933
22.18,4.9932
22.19,4.9932
22.2,4.9932
22.21,4.9932
22.22,4.9931
22.23,4.9931
22.24,4.9931
22.25,4.9931
22.26,4.993
22.27,4.993
22.28,4.993
22.29,4.993
22.3,4.9929
22.31,4.9929
22.32,4.9929
22.33,4.9929
22.34,4.9928
22.35,4.9928
22.36,4.9928
22.37,4.9928
22.38,4.9927
22.39,4.9927
22.4,4.9927
22.41,4.9927
22.42,4.9926
22.43,4.9926
22.44,4.9926
22.45,4.9926
22.46,4.9926
22.47,4.9925
22.48,4.9925
22.49,4.9925
22.5,4.9925
22.51,4.9925
22.52,4.9924
22.53,4.9924
22.54,4.9924
22.55,4.9924
22.56,4.9924
22.57,4.9923
22.58,4.9923
22.59,4.9923
22.6,4.9923
22.61,4.9923
22.62,4.9922
22.63,4.9922
22.64,4.9922
22.65,4.9922
22.66,4.9922
22.67,4.9921
22.68,4.9921
22.69,4.9921
22.7,4.9921
22.71,4.9921
22.72,4.9921
22.73,4.992
22.74,4.992
22.75,4.992
22.76,4.992
22.77,4.992
22.78,4.992
22.79,4.9919
22.8,4.9919
22.81,4.9919
22.82,4.9919
22.83,4.9919
22.84,4.9919
22.85,4.9918
22.86,4.9918
22.87,4.9918
22.88,4.9918
22.89,4.9918
22.9,4.9918
22.91,4.9918
22.92,4.9917
22.93,4.9917
22.94,4.9917
22.95,4.9917
22.96,4.9917
22.97,4.9917
22.98,4.9917
22.99,4.9917
23,4.9916
23.01,4.9916
23.02,4.9916
23.03,4.9916
23.04,4.9916
23.05,4.9916
23.06,4.9916
23.07,4.9916
23.08,4.9915
23.09,4.9915
23.1,4.9915
23.11,4.9915
23.12,4.9915
23.13,4.9915
23.14,4.9915
23.15,4.9915
23.16,4.9915
23.17,4.9914
23.18,4.9914
23.19,4.9914
23.2,4.9914
23.21,4.9914
23.22,4.9914
23.23,4.9914
23.24,4.9914
23.25,4.9914
23.26,4.9914
23.27,4.9914
23.28,4.9913
23.29,4.9913
23.3,4.9913
23.31,4.9913
23.32,4.9913
23.33,4.9913
23.34,4.9913
23.35,4.9913
23.36,4.9913
23.37,4.9913
23.38,4.9913
23.39,4.9913
23.4,4.9913
23.41,4.9912
23.42,4.9912
23.43,4.9912
23.44,4.9912
23.45,4.9912
23.46,4.9912
23.47,4.9912
23.48,4.9912
23.49,4.9912
23.5,4.9912
23.51,4.9912
23.52,4.9912
23.53,4.9912
23.54,4.9912
23.55,4.9912
23.56,4.9912
23.57,4.9911
23.58,4.9911
23.59,4.9911
23.6,4.9911
23.61,4.9911
23.62,4.9911
23.63,4.9911
23.64,4.9911
23.65,4.9911
23.66,4.9911
23.67,4.9911
23.68,4.9911
23.69,4.9911
23.7,4.9911
23.71,4.9911
23.72,4.9911
23.73,4.9911
23.74,4.9911
23.75,4.9911
23.76,4.9911
23.77,4.9911
23.78,4.9911
23.79,4.9911
23.8,4.9911
23.81,4.9911
23.82,4.9911
23.83,4.9911
23.84,4.9911
23.85,4.991
23.86,4.991
23.87,4.991
23.88,4.991
23.89,4.991
23.9,4.991
23.91,4.991
23.92,4.991
23.93,4.991
23.94,4.991
23.95,4.991
23.96,4.991
23.97,4.991
23.98,4.991
23.99,4.991
24,4.991
24.01,4.991
24.02,4.991
24.03,4.991
24.04,4.991
24.05,4.991
24.06,4.991
24.07,4.991
24.08,4.991
24.09,4.991
24.1,4.991
24.11,4.991
24.12,4.991
24.13,4.991
24.14,4.991
24.15,4.991
24.16,4.991
24.17,4.991
24.18,4.991
24.19,4.991
24.2,4.991
24.21,4.991
24.22,4.991
24.23,4.991
24.24,4.991
24.25,4.991
24.26,4.991
24.27,4.991
24.28,4.9911
24.29,4.9911
24.3,4.9911
24.31,4.9911
24.32,4.9911
24.33,4.9911
24.34,4.9911
24.35,4.9911
24.36,4.9911
24.37,4.9911
24.38,4.9911
24.39,4.9911
24.4,4.9911
24.41,4.9911
24.42,4.9911
24.43,4.9911
24.44,4.9911
24.45,4.9911
24.46,4.9911
24.47,4.9911
24.48,4.9911
24.49,4.9911
24.5,4.9911
24.51,4.9911
24.52,4.9911
24.53,4.9911
24.54,4.9911
24.55,4.9911
24.56,4.9911
24.57,4.9911
24.58,4.9911
24.59,4.9911
24.6,4.9912
24.61,4.9912
24.62,4.9912
24.63,4.9912
24.64,4.9912
24.65,4.9912
24.66,4.9912
24.67,4.9912
24.68,4.9912
24.69,4.9912
24.7,4.9912
24.71,4.9912
24.72,4.9912
24.73,4.9912
24.74,4.9912
24.75,4.9912
24.76,4.9912
24.77,4.9912
24.78,4.9912
24.79,4.9912
24.8,4.9913
24.81,4.9913
24.82,4.9913
24.83,4.9913
24.84,4.9913
24.85,4.9913
24.86,4.9913
24.87,4.9913
24.88,4.9913
24.89,4.9913
24.9,4.9913
24.91,4.9913
24.92,4.9913
24.93,4.9913
24.94,4.9913
24.95,4.9913
24.96,4.9914
24.97,4.9914
24.98,4.9914
24.99,4.9914
25,4.9914
25.01,4.9914
25.02,4.9914
25.03,4.9914
25.04,4.9914
25.05,4.9914
25.06,4.9914
25.07,4.9914
25.08,4.9914
25.09,4.9914
25.1,4.9914
25.11,4.9915
25.12,4.9915
25.13,4.9915
25.14,4.9915
25.15,4.9915
25.16,4.9915
25.17,4.9915
25.18,4.9915
25.19,4.9915
25.2,4.9915
25.21,4.9915
25.22,4.9915
25.23,4.9915
25.24,4.9916
25.25,4.9916
25.26,4.9916
25.27,4.9916
25.28,4.9916
25.29,4.9916
25.3,4.9916
25.31,4.9916
25.32,4.9916
25.33,4.9916
25.34,4.9916
25.35,4.9916
25.36,4.9917
25.37,4.9917
25.38,4.9917
25.39,4.9917
25.4,4.9917
25.41,4.9917
25.42,4.9917
25.43,4.9917
25.44,4.9917
25.45,4.9917
25.46,4.9917
25.47,4.9917
25.48,4.9918
25.49,4.9918
25.5,4.9918
25.51,4.9918
25.52,4.9918
25.53,4.9918
25.54,4.9918
25.55,4.9918
25.56,4.9918
25.57,4.9918
25.58,4.9918
25.59,4.9919
25.6,4.9919
25.61,4.9919
25.62,4.9919
25.63,4.9919
25.64,4.9919
25.65,4.9919
25.66,4.9919
25.67,4.9919
25.68,4.9919
25.69,4.992
25.7,4.992
25.71,4.992
25.72,4.992
25.73,4.992
25.74,4.992
25.75,4.992
25.76,4.992
25.77,4.992
25.78,4.992
25.79,4.9921
25.8,4.9921
25.81,4.9921
25.82,4.9921
25.83,4.9921
25.84,4.9921
25.85,4.9921
25.86,4.9921
25.87,4.9921
25.88,4.9921
25.89,4.9922
25.9,4.9922
25.91,4.9922
25.92,4.9922
25.93,4.9922
25.94,4.9922
25.95,4.9922
25.96,4.9922
25.97,4.9922
25.98,4.9923
25.99,4.9923
26,4.9923
26.01,4.9923
26.02,4.9923
26.03,4.9923
26.04,4.9923
26.05,4.9923
26.06,4.9923
26.07,4.9923
26.08,4.9924
26.09,4.9924
26.1,4.9924
26.11,4.9924
26.12,4.9924
26.13,4.9924
26.14,4.9924
26.15,4.9924
26.16,4.9924
26.17,4.9925
26.18,4.9925
26.19,4.9925
26.2,4.9925
26.21,4.9925
26.22,4.9925
26.23,4.9925
26.24,4.9925
26.25,4.9925
26.26,4.9926
26.27,4.9926
26.28,4.9926
26.29,4.9926
26.3,4.9926
26.31,4.9926
26.32,4.9926
26.33,4.9926
26.34,4.9926
26.35,4.9927
26.36,4.9927
26.37,4.9927
26.38,4.9927
26.39,4.9927
26.4,4.9927
26.41,4.9927
26.42,4.9927
26.43,4.9927
26.44,4.9928
26.45,4.9928
26.46,4.9928
26.47,4.9928
26.48,4.9928
26.49,4.9928
26.5,4.9928
26.51,4.9928
26.52,4.9929
26.53,4.9929
26.54,4.9929
26.55,4.9929
26.56,4.9929
26.57,4.9929
26.58,4.9929
26.59,4.9929
26.6,4.9929
26.61,4.993
26.62,4.993
26.63,4.993
26.64,4.993
26.65,4.993
26.66,4.993
26.67,4.993
26.68,4.993
26.69,4.9931
26.7,4.9931
26.71,4.9931
26.72,4.9931
26.73,4.9931
26.74,4.9931
26.75,4.9931
26.76,4.9931
26.77,4.9931
26.78,4.9932
26.79,4.9932
26.8,4.9932
26.81,4.9932
26.82,4.9932
26.83,4.9932
26.84,4.9932
26.85,4.9932
26.86,4.9933
26.87,4.9933
26.88,4.9933
26.89,4.9933
26.9,4.9933
26.91,4.9933
26.92,4.9933
26.93,4.9933
26.94,4.9934
26.95,4.9934
26.96,4.9934
26.97,4.9934
26.98,4.9934
26.99,4.9934
27,4.9934
27.01,4.9934
27.02,4.9935
27.03,4.9935
27.04,4.9935
27.05,4.9935
27.06,4.9935
27.07,4.9935
27.08,4.9935
27.09,4.9935
27.1,4.9935
27.11,4.9936
27.12,4.9936
27.13,4.9936
27.14,4.9936
27.15,4.9936
27.16,4.9936
27.17,4.9936
27.18,4.9936
27.19,4.9937
27.2,4.9937
27.21,4.9937
27.22,4.9937
27.23,4.9937
27.24,4.9937
27.25,4.9937
27.26,4.9937
27.27,4.9938
27.28,4.9938
27.29,4.9938
27.3,4.9938
27.31,4.9938
27.32,4.9938
27.33,4.9938
27.34,4.9938
27.35,4.9939
27.36,4.9939
27.37,4.9939
27.38,4.9939
27.39,4.9939
27.4,4.9939
27.41,4.9939
27.42,4.9939
27.43,4.994
27.44,4.994
27.45,4.994
27.46,4.994
27.47,4.994
27.48,4.994
27.49,4.994
27.5,4.994
27.51,4.994
27.52,4.9941
27.53,4.9941
27.54,4.9941
27.55,4.9941
27.56,4.9941
27.57,4.9941
27.58,4.9941
27.59,4.9941
27.6,4.9942
27.61,4.9942
27.62,4.9942
27.63,4.9942
27.64,4.9942
27.65,4.9942
27.66,4.9942
27.67,4.9942
27.68,4.9943
27.69,4.9943
27.7,4.9943
27.71,4.9943
27.72,4.9943
27.73,4.9943
27.74,4.9943
27.75,4.9943
27.76,4.9944
27.77,4.9944
27.78,4.9944
27.79,4.9944
27.8,4.9944
27.81,4.9944
27.82,4.9944
27.83,4.9944
27.84,4.9945
27.85,4.9945
27.86,4.9945
27.87,4.9945
27.88,4.9945
27.89,4.9945
27.9,4.9945
27.91,4.9945
27.92,4.9945
27.93,4.9946
27.94,4.9946
27.95,4.9946
27.96,4.9946
27.97,4.9946
27.98,4.9946
27.99,4.9946
28,4.9946
28.01,4.9947
28.02,4.9947
28.03,4.9947
28.04,4.9947
28.05,4.9947
28.06,4.9947
28.07,4.9947
28.08,4.9947
28.09,4.9948
28.1,4.9948
28.11,4.9948
28.12,4.9948
28.13,4.9948
28.14,4.9948
28.15,4.9948
28.16,4.9948
28.17,4.9948
28.18,4.9949
28.19,4.9949
28.2,4.9949
28.21,4.9949
28.22,4.9949
28.23,4.9949
28.24,4.9949
28.25,4.9949
28.26,4.995
28.27,4.995
28.28,4.995
28.29,4.995
28.3,4.995
28.31,4.995
28.32,4.995
28.33,4.995
28.34,4.9951
28.35,4.9951
28.36,4.9951
28.37,4.9951
28.38,4.9951
28.39,4.9951
28.4,4.9951
28.41,4.9951
28.42,4.9951
28.43,4.9952
28.44,4.9952
28.45,4.9952
28.46,4.9952
28.47,4.9952
28.48,4.9952
28.49,4.9952
28.5,4.9952
28.51,4.9952
28.52,4.9953
28.53,4.9953
28.54,4.9953
28.55,4.9953
28.56,4.9953
28.57,4.9953
28.58,4.9953
28.59,4.9953
28.6,4.9954
28.61,4.9954
28.62,4.9954
28.63,4.9954
28.64,4.9954
28.65,4.9954
28.66,4.9954
28.67,4.9954
28.68,4.9954
28.69,4.9955
28.7,4.9955
28.71,4.9955
28.72,4.9955
28.73,4.9955
28.74,4.9955
28.75,4.9955
28.76,4.9955
28.77,4.9955
28.78,4.9956
28.79,4.9956
28.8,4.9956
28.81,4.9956
28.82,4.9956
28.83,4.9956
28.84,4.9956
28.85,4.9956
28.86,4.9956
28.87,4.9957
28.88,4.9957
28.89,4.9957
28.9,4.9957
28.91,4.9957
28.92,4.9957
28.93,4.9957
28.94,4.9957
28.95,4.9957
28.96,4.9958
28.97,4.9958
28.98,4.9958
28.99,4.9958
29,4.9958
29.01,4.9958
29.02,4.9958
29.03,4.9958
29.04,4.9958
29.05,4.9959
29.06,4.9959
29.07,4.9959
29.08,4.9959
29.09,4.9959
29.1,4.9959
29.11,4.9959
29.12,4.9959
29.13,4.9959
29.14,4.996
29.15,4.996
29.16,4.996
29.17,4.996
29.18,4.996
29.19,4.996
29.2,4.996
29.21,4.996
29.22,4.996
29.23,4.9961
29.24,4.9961
29.25,4.9961
29.26,4.9961
29.27,4.9961
29.28,4.9961
29.29,4.9961
29.3,4.9961
29.31,4.9961
29.32,4.9962
29.33,4.9962
29.34,4.9962
29.35,4.9962
29.36,4.9962
29.37,4.9962
29.38,4.9962
29.39,4.9962
29.4,4.9962
29.41,4.9962
29.42,4.9963
29.43,4.9963
29.44,4.9963
29.45,4.9963
29.46,4.9963
29.47,4.9963
29.48,4.9963
29.49,4.9963
29.5,4.9963
29.51,4.9964
29.52,4.9964
29.53,4.9964
29.54,4.9964
29.55,4.9964
29.56,4.9964
29.57,4.9964
29.58,4.9964
29.59,4.9964
29.6,4.9964
29.61,4.9965
29.62,4.9965
29.63,4.9965
29.64,4.9965
29.65,4.9965
29.66,4.9965
29.67,4.9965
29.68,4.9965
29.69,4.9965
29.7,4.9965
29.71,4.9966
29.72,4.9966
29.73,4.9966
29.74,4.9966
29.75,4.9966
29.76,4.9966
29.77,4.9966
29.78,4.9966
29.79,4.9966
29.8,4.9966
29.81,4.9967
29.82,4.9967
29.83,4.9967
29.84,4.9967
29.85,4.9967
29.86,4.9967
29.87,4.9967
29.88,4.9967
29.89,4.9967
29.9,4.9967
29.91,4.9968
29.92,4.9968
29.93,4.9968
29.94,4.9968
29.95,4.9968
29.96,4.9968
29.97,4.9968
29.98,4.9968
29.99,4.9968
30,4.9968
